28.07, 160.1
28.07, 139.4
28.07, 172.3
28.65, 96.2
28.65, 156.8
28.65, 183.0
28.65, 193.9
28.65, 176.5
29.22, 97.0
29.22, 131.7
29.22, 160.4
29.22, 156.5
29.22, 168.7
29.79, 94.2
29.79, 129.2
29.79, 155.3
29.79, 160.1
29.79, 137.6
30.37, 78.7
30.37, 126.5
30.37, 148.2
30.37, 150.7
30.37, 169.3
30.94, 94.9
30.94, 143.1
30.94, 165.0
30.94, 158.0
30.94, 167.4
31.51, 93.4
31.51, 133.6
31.51, 154.9
31.51, 140.9
31.51, 169.8
32.09, 95.0
32.09, 146.3
32.09, 136.9
32.09, 142.9
32.09, 147.9
32.66, 84.8
32.66, 144.6
32.66, 167.2
32.66, 177.0
32.66, 141.5
33.23, 80.6
33.23, 124.1
33.23, 127.1
33.23, 126.2
33.23, 152.4
33.80, 86.9
33.80, 132.5
33.80, 142.4
33.80, 156.3
33.80, 179.9
34.38, 99.4
34.38, 154.6
34.38, 144.2
34.38, 153.6
34.38, 172.2
34.95, 95.2
34.95, 125.2
34.95, 133.9
34.95, 139.1
34.95, 160.3
35.52, 90.6
35.52, 122.3
35.52, 148.2
35.52, 183.6
35.52, 175.2
36.10, 97.4
36.10, 148.7
36.10, 164.0
36.10, 153.9
36.10, 140.5
36.67, 80.3
36.67, 117.0
36.67, 152.9
36.67, 163.7
36.67, 181.1
37.24, 100.4
37.24, 153.4
37.24, 159.3
37.24, 154.3
37.24, 135.2
37.82, 78.0
37.82, 133.5
37.82, 128.7
37.82, 136.9
37.82, 151.2
38.39, 86.2
38.39, 144.8
38.39, 168.3
38.39, 166.8
38.39, 140.1
38.96, 80.3
38.96, 131.8
38.96, 145.6
38.96, 184.4
38.96, 182.2
39.53, 100.6
39.53, 135.6
39.53, 166.5
39.53, 188.3
39.53, 161.6
40.11, 90.5
40.11, 143.2
40.11, 170.9
40.11, 144.3
40.11, 177.8
40.68, 97.7
40.68, 137.7
40.68, 156.4
40.68, 169.6
40.68, 151.2
41.25, 84.7
41.25, 134.9
41.25, 170.8
41.25, 188.8
41.25, 179.0
41.83, 98.6
41.83, 147.9
41.83, 154.6
41.83, 154.7
41.83, 171.9
42.40, 95.8
42.40, 134.1
42.40, 135.6
42.40, 126.3
42.40, 140.1
42.97, 81.3
42.97, 126.8
42.97, 134.8
42.97, 151.3
42.97, 152.9
43.54, 86.5
43.54, 114.2
43.54, 149.7
43.54, 165.0
43.54, 164.6
44.12, 92.4
44.12, 121.0
44.12, 167.2
44.12, 135.9
44.12, 159.7
44.69, 90.1
44.69, 98.6
44.69, 135.1
44.69, 156.5
44.69, 159.4
45.26, 90.0
45.26, 129.3
45.26, 130.3
45.26, 121.5
45.26, 150.4
45.84, 86.1
45.84, 135.5
45.84, 139.5
45.84, 157.0
45.84, 125.3
46.41, 72.5
46.41, 102.7
46.41, 130.1
46.41, 146.8
46.41, 150.7
46.98, 85.3
46.98, 133.1
46.98, 144.5
46.98, 135.5
46.98, 136.5
47.56, 78.9
47.56, 122.2
47.56, 127.9
47.56, 145.5
47.56, 148.8
48.13, 85.0
48.13, 115.1
48.13, 145.7
48.13, 162.7
48.13, 154.7
48.70, 87.0
48.70, 128.8
48.70, 150.1
48.70, 144.1
48.70, 154.5
49.27, 87.7
49.27, 131.9
49.27, 149.4
49.27, 152.1
49.27, 151.4
49.85, 85.8
49.85, 137.0
49.85, 155.2
49.85, 155.9
49.85, 135.7
50.42, 77.2
50.42, 107.7
50.42, 135.5
50.42, 144.3
50.42, 172.9
50.99, 96.9
50.99, 139.6
50.99, 137.5
50.99, 155.1
50.99, 161.5
51.57, 90.6
51.57, 143.1
51.57, 168.6
51.57, 179.1
51.57, 147.7
52.14, 83.3
52.14, 136.3
52.14, 147.4
52.14, 166.1
52.14, 171.5
52.71, 95.4
52.71, 146.7
52.71, 160.6
52.71, 160.3
52.71, 160.1
53.29, 90.2
53.29, 130.6
53.29, 155.7
53.29, 163.8
53.29, 170.9
53.86, 95.3
53.86, 154.9
53.86, 177.0
53.86, 187.4
53.86, 183.8
54.43, 101.6
54.43, 148.5
54.43, 158.3
54.43, 177.2
54.43, 156.2
55.00, 87.8
55.00, 149.5
55.00, 175.9
55.00, 163.2
55.00, 170.2
55.58, 94.6
55.58, 154.5
55.58, 187.6
55.58, 205.2
55.58, 187.0
56.15, 102.8
56.15, 148.3
56.15, 137.4
56.15, 171.3
56.15, 184.2
56.72, 101.9
56.72, 152.3
56.72, 169.3
56.72, 183.9
56.72, 171.9
57.30, 95.6
57.30, 154.1
57.30, 173.4
57.30, 146.9
57.30, 175.4
57.87, 96.8
57.87, 152.2
57.87, 179.8
57.87, 177.1
57.87, 160.9
58.44, 90.0
58.44, 155.7
58.44, 138.0
58.44, 172.5
58.44, 200.2
59.01, 109.8
59.01, 161.4
59.01, 200.4
59.01, 201.7
59.01, 186.6
59.59, 102.8
59.59, 162.2
59.59, 183.2
59.59, 193.9
59.59, 156.2
60.16, 87.6
60.16, 151.9
60.16, 182.4
60.16, 184.4
60.16, 210.6
60.73, 114.9
60.73, 149.1
